#wave	flux	unc
4661.023	0.498	0.074
4661.842	0.55	0.076
4662.661	0.541	0.075
4663.48	0.509	0.074
4664.299	0.499	0.073
4665.118	0.52	0.074
4665.937	0.571	0.076
4666.756	0.537	0.075
4667.575	0.443	0.071
4668.394	0.389	0.069
4669.213	0.342	0.067
4670.032	0.314	0.065
4670.851	0.315	0.066
4671.67	0.331	0.066
4672.489	0.339	0.067
4673.308	0.333	0.067
4674.127	0.321	0.066
4674.946	0.307	0.067
4675.765	0.292	0.067
4676.584	0.323	0.067
4677.403	0.37	0.068
4678.222	0.402	0.069
4679.041	0.427	0.07
4679.86	0.405	0.069
4680.679	0.381	0.068
4681.498	0.382	0.067
4682.317	0.366	0.066
4683.136	0.304	0.065
4683.955	0.299	0.065
4684.774	0.353	0.066
4685.593	0.365	0.067
4686.412	0.349	0.066
4687.231	0.35	0.066
4688.05	0.371	0.067
4688.869	0.375	0.068
4689.688	0.339	0.066
4690.507	0.343	0.066
4691.326	0.373	0.067
4692.145	0.365	0.067
4692.964	0.343	0.066
4693.783	0.367	0.067
4694.602	0.398	0.067
4695.421	0.391	0.067
4696.24	0.388	0.067
4697.059	0.372	0.067
4697.878	0.381	0.067
4698.697	0.422	0.068
4699.516	0.425	0.068
4700.335	0.414	0.068
4701.154	0.406	0.067
4701.973	0.402	0.067
4702.792	0.4	0.066
4703.611	0.408	0.066
4704.43	0.436	0.067
4705.249	0.465	0.067
4706.068	0.454	0.067
4706.887	0.403	0.065
4707.706	0.396	0.065
4708.525	0.411	0.067
4709.344	0.382	0.066
4710.163	0.403	0.067
4710.982	0.441	0.067
4711.801	0.451	0.067
4712.62	0.439	0.067
4713.439	0.437	0.068
4714.258	0.419	0.068
4715.077	0.394	0.067
4715.896	0.385	0.066
4716.715	0.383	0.066
4717.534	0.394	0.066
4718.353	0.38	0.066
4719.172	0.338	0.064
4719.991	0.347	0.064
4720.81	0.376	0.065
4721.629	0.373	0.066
4722.448	0.354	0.066
4723.267	0.391	0.067
4724.086	0.447	0.068
4724.905	0.441	0.067
4725.724	0.386	0.066
4726.543	0.381	0.067
4727.362	0.418	0.067
4728.181	0.429	0.067
4729	0.407	0.066
4729.819	0.405	0.066
4730.638	0.424	0.066
4731.457	0.434	0.066
4732.276	0.431	0.066
4733.095	0.422	0.066
4733.914	0.378	0.065
4734.733	0.358	0.065
4735.552	0.381	0.066
4736.371	0.406	0.066
4737.19	0.4	0.066
4738.009	0.382	0.065
4738.828	0.365	0.065
4739.647	0.369	0.065
4740.466	0.415	0.066
4741.285	0.386	0.066
4742.104	0.329	0.065
4742.923	0.346	0.065
4743.742	0.42	0.067
4744.561	0.441	0.068
4745.38	0.416	0.067
4746.199	0.4	0.066
4747.018	0.404	0.067
4747.837	0.404	0.068
4748.656	0.409	0.068
4749.475	0.419	0.067
4750.294	0.413	0.066
4751.113	0.388	0.065
4751.932	0.368	0.065
4752.751	0.37	0.065
4753.57	0.377	0.065
4754.389	0.365	0.065
4755.208	0.388	0.065
4756.027	0.445	0.066
4756.846	0.471	0.067
4757.665	0.436	0.065
4758.484	0.416	0.065
4759.303	0.412	0.065
4760.122	0.372	0.064
4760.941	0.308	0.062
4761.76	0.309	0.062
4762.579	0.346	0.063
4763.398	0.331	0.062
4764.217	0.246	0.059
4765.036	0.201	0.058
4765.855	0.223	0.058
4766.674	0.252	0.058
4767.493	0.235	0.058
4768.312	0.221	0.057
4769.131	0.224	0.058
4769.95	0.225	0.058
4770.769	0.222	0.057
4771.588	0.246	0.059
4772.407	0.258	0.06
4773.226	0.239	0.059
4774.045	0.235	0.059
4774.864	0.273	0.059
4775.683	0.275	0.059
4776.502	0.237	0.058
4777.321	0.223	0.059
4778.14	0.235	0.06
4778.959	0.244	0.06
4779.778	0.242	0.059
4780.597	0.236	0.059
4781.416	0.219	0.058
4782.235	0.198	0.058
4783.054	0.207	0.058
4783.873	0.239	0.058
4784.692	0.223	0.058
